Run #1	Run #1	Run #1	Run #1
Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
29,550	0,53	-0,79	-1,73
29,600	0,49	-0,86	-1,23
29,650	0,45	-0,91	-0,51
29,700	0,40	-0,92	-0,07
29,750	0,36	-0,92	0,21
29,800	0,31	-0,89	0,89
29,850	0,27	-0,83	1,76
29,900	0,23	-0,72	2,61
29,950	0,19	-0,57	2,99
30,000	0,17	-0,42	3,02
30,050	0,15	-0,27	3,03
30,100	0,14	-0,12	3,03
30,150	0,14	0,04	3,06
30,200	0,15	0,19	3,06
30,250	0,16	0,34	3,04
30,300	0,18	0,49	2,91
30,350	0,21	0,63	2,83
30,400	0,24	0,78	2,34
30,450	0,29	0,87	1,49
30,500	0,33	0,92	0,55
30,550	0,38	0,92	-0,27
30,600	0,42	0,90	-0,29
30,650	0,47	0,89	-0,71
30,700	0,51	0,83	-1,56
30,750	0,55	0,74	-1,83
30,800	0,59	0,64	-2,18
30,850	0,62	0,52	-2,85
30,900	0,64	0,36	-3,14
30,950	0,65	0,20	-3,12
31,000	0,66	0,05	-3,17
31,050	0,66	-0,11	-3,12
31,100	0,65	-0,27	-3,18
31,150	0,63	-0,43	-3,06
31,200	0,60	-0,57	-2,47
31,250	0,57	-0,68	-2,05
31,300	0,54	-0,78	-1,78
31,350	0,49	-0,86	-1,28
31,400	0,45	-0,91	-0,51
31,450	0,40	-0,91	-0,07
31,500	0,36	-0,91	0,11
31,550	0,31	-0,90	0,83
31,600	0,27	-0,83	1,72
31,650	0,23	-0,72	2,52
31,700	0,20	-0,58	2,95
31,750	0,17	-0,43	3,00
31,800	0,15	-0,28	3,03
31,850	0,14	-0,13	3,03
31,900	0,14	0,03	3,03
31,950	0,15	0,18	3,04
32,000	0,16	0,33	3,05
32,050	0,18	0,48	2,91
32,100	0,21	0,62	2,81
32,150	0,24	0,76	2,35
32,200	0,28	0,86	1,50
32,250	0,33	0,91	0,60
32,300	0,38	0,92	-0,20
32,350	0,42	0,89	-0,28
32,400	0,46	0,89	-0,68
32,450	0,51	0,83	-1,49
32,500	0,55	0,74	-1,85
32,550	0,58	0,64	-2,15
32,600	0,61	0,52	-2,69
32,650	0,63	0,37	-3,12
32,700	0,65	0,21	-3,14
32,750	0,66	0,06	-3,13
32,800	0,65	-0,10	-3,13
32,850	0,65	-0,26	-3,20
32,900	0,63	-0,42	-3,04
32,950	0,60	-0,56	-2,43
33,000	0,57	-0,66	-2,05
33,050	0,54	-0,76	-1,83
33,100	0,50	-0,85	-1,36
33,150	0,45	-0,90	-0,50
33,200	0,41	-0,90	-0,07
33,250	0,36	-0,91	-0,01
33,300	0,32	-0,90	0,76
33,350	0,27	-0,83	1,69
33,400	0,23	-0,73	2,50
33,450	0,20	-0,58	2,92
33,500	0,17	-0,44	2,92
33,550	0,16	-0,29	3,02
33,600	0,15	-0,14	3,05
33,650	0,14	0,02	3,03
33,700	0,15	0,17	3,02
33,750	0,16	0,32	3,02
33,800	0,18	0,47	2,93
33,850	0,21	0,61	2,83
33,900	0,24	0,75	2,35
33,950	0,28	0,85	1,57
34,000	0,33	0,91	0,63
34,050	0,37	0,91	-0,21
34,100	0,42	0,89	-0,21
34,150	0,46	0,89	
